,age,capital.gain,capital.loss,education,education.num,fnlwgt,hours.per.week,income,marital.status,native.country,occupation,race,relationship,sex,workclass
0,90,0,4356,HS-grad,9,77053,40,0,Widowed,United-States,None,White,Not-in-family,Female,None
1,82,0,4356,HS-grad,9,132870,18,0,Widowed,United-States,Exec-managerial,White,Not-in-family,Female,Private
2,66,0,4356,Some-college,10,186061,40,0,Widowed,United-States,None,Black,Unmarried,Female,None
3,54,0,3900,7th-8th,4,140359,40,0,Divorced,United-States,Machine-op-inspct,White,Unmarried,Female,Private
4,41,0,3900,Some-college,10,264663,40,0,Separated,United-States,Prof-specialty,White,Own-child,Female,Private
5,34,0,3770,HS-grad,9,216864,45,0,Divorced,United-States,Other-service,White,Unmarried,Female,Private
6,38,0,3770,10th,6,150601,40,0,Separated,United-States,Adm-clerical,White,Unmarried,Male,Private
7,74,0,3683,Doctorate,16,88638,20,1,Never-married,United-States,Prof-specialty,White,Other-relative,Female,State-gov
8,68,0,3683,HS-grad,9,422013,40,0,Divorced,United-States,Prof-specialty,White,Not-in-family,Female,Federal-gov
9,45,0,3004,Doctorate,16,172274,35,1,Divorced,United-States,Prof-specialty,Black,Unmarried,Female,Private
10,38,0,2824,Prof-school,15,164526,45,1,Never-married,United-States,Prof-specialty,White,Not-in-family,Male,Self-emp-not-inc
11,52,0,2824,Bachelors,13,129177,20,1,Widowed,United-States,Other-service,White,Not-in-family,Female,Private
12,32,0,2824,Masters,14,136204,55,1,Separated,United-States,Exec-managerial,White,Not-in-family,Male,Private
13,51,0,2824,Doctorate,16,172175,40,1,Never-married,United-States,None,White,Not-in-family,Male,None
14,46,0,2824,Prof-school,15,45363,40,1,Divorced,United-States,Prof-specialty,White,Not-in-family,Male,Private
15,45,0,2824,11th,7,172822,76,1,Divorced,United-States,Transport-moving,White,Not-in-family,Male,Private
16,57,0,2824,Masters,14,317847,50,1,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,Private
17,34,0,2824,Bachelors,13,203034,50,1,Separated,United-States,Sales,White,Not-in-family,Male,Private
18,37,0,2824,Bachelors,13,188774,40,1,Never-married,United-States,Exec-managerial,White,Not-in-family,Male,Private
19,29,0,2754,11th,7,77009,42,0,Separated,United-States,Sales,White,Not-in-family,Female,Private
20,61,0,2754,HS-grad,9,29059,25,0,Divorced,United-States,Sales,White,Unmarried,Female,Private
21,51,0,2603,Some-college,10,153870,40,0,Married-civ-spouse,United-States,Transport-moving,White,Husband,Male,Private
22,61,0,2603,HS-grad,9,135285,32,0,Married-civ-spouse,United-States,None,White,Husband,Male,None
23,21,0,2603,Assoc-voc,11,34310,40,0,Married-civ-spouse,United-States,Craft-repair,White,Husband,Male,Private
24,33,0,2603,1st-4th,2,228696,32,0,Married-civ-spouse,Mexico,Craft-repair,White,Not-in-family,Male,Private
25,49,0,2603,5th-6th,3,122066,40,0,Married-civ-spouse,Greece,Other-service,White,Husband,Male,Private
26,37,0,2559,10th,6,107164,50,1,Never-married,United-States,Transport-moving,White,Not-in-family,Male,Self-emp-inc
27,38,0,2559,10th,6,175360,90,1,Never-married,United-States,Prof-specialty,White,Not-in-family,Male,Private
28,23,0,2559,Some-college,10,44064,40,1,Separated,United-States,Other-service,White,Not-in-family,Male,Private
29,59,0,2559,10th,6,107287,50,1,Widowed,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc
30,52,0,2559,Prof-school,15,198863,60,1,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,Private
31,51,0,2559,Bachelors,13,123011,50,1,Divorced,United-States,Exec-managerial,White,Not-in-family,Male,Private
32,60,0,2559,HS-grad,9,205246,50,1,Never-married,United-States,Exec-managerial,Black,Not-in-family,Male,Self-emp-not-inc
33,63,0,2559,Doctorate,16,39181,60,1,Divorced,United-States,Exec-managerial,White,Not-in-family,Female,Federal-gov
34,53,0,2559,HS-grad,9,149650,48,1,Never-married,United-States,Sales,White,Not-in-family,Male,Private
35,51,0,2559,Prof-school,15,197163,50,1,Never-married,United-States,Prof-specialty,White,Not-in-family,Female,Private
36,37,0,2559,Doctorate,16,137527,60,1,Never-married,United-States,Prof-specialty,White,Not-in-family,Female,Self-emp-not-inc
37,54,0,2559,Masters,14,161691,40,1,Divorced,United-States,Prof-specialty,White,Not-in-family,Female,Private
38,44,0,2547,Bachelors,13,326232,50,1,Divorced,United-States,Exec-managerial,White,Unmarried,Male,Private
39,43,0,2547,Masters,14,115806,40,1,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Private
40,51,0,2547,Some-college,10,115066,40,1,Divorced,United-States,Adm-clerical,White,Unmarried,Female,Private
41,43,0,2547,Masters,14,289669,40,1,Divorced,United-States,Prof-specialty,White,Unmarried,Female,Private
42,71,0,2489,HS-grad,9,100820,15,0,Married-civ-spouse,United-States,None,White,Husband,Male,None
43,48,0,2472,Bachelors,13,121253,70,1,Married-spouse-absent,United-States,Sales,White,Unmarried,Female,Private
44,71,0,2467,HS-grad,9,110380,52,0,Married-civ-spouse,United-States,Sales,White,Husband,Male,Private
45,73,0,2457,HS-grad,9,233882,40,0,Married-civ-spouse,Vietnam,Farming-fishing,Asian-Pac-Islander,Husband,Male,Self-emp-not-inc
46,68,0,2457,Some-college,10,192052,40,0,Married-civ-spouse,United-States,None,White,Wife,Female,None
47,67,0,2457,Some-college,10,174995,40,0,Married-civ-spouse,United-States,None,White,Husband,Male,None
48,40,0,2444,Prof-school,15,335549,45,1,Never-married,United-States,Prof-specialty,White,Not-in-family,Male,Self-emp-not-inc
49,50,0,2444,HS-grad,9,237729,72,1,Widowed,United-States,Sales,White,Not-in-family,Female,Private
50,51,0,2444,Assoc-voc,11,68898,39,1,Divorced,United-States,Tech-support,White,Not-in-family,Male,State-gov
51,42,0,2444,Some-college,10,107276,40,1,Never-married,United-States,Exec-managerial,White,Not-in-family,Female,Private
52,39,0,2444,Masters,14,141584,45,1,Never-married,United-States,Sales,White,Not-in-family,Male,Private
53,32,0,2444,Bachelors,13,207668,50,1,Never-married,United-States,Exec-managerial,White,Other-relative,Male,Private
54,53,0,2444,Some-college,10,313243,45,1,Separated,United-States,Craft-repair,White,Not-in-family,Male,Private
55,40,0,2444,Some-college,10,147372,40,1,Never-married,United-States,Protective-serv,White,Not-in-family,Male,Local-gov
56,38,0,2444,Bachelors,13,237608,45,1,Never-married,United-States,Sales,White,Not-in-family,Female,Private
57,33,0,2444,Assoc-voc,11,194901,42,1,Separated,United-States,Craft-repair,White,Not-in-family,Male,Private
58,43,0,2444,Assoc-acdm,12,155106,70,1,Divorced,United-States,Craft-repair,White,Not-in-family,Male,Private
59,50,0,2444,11th,7,121441,40,1,Never-married,United-States,Exec-managerial,White,Other-relative,Male,Self-emp-inc
60,44,0,2415,Some-college,10,162028,6,1,Married-civ-spouse,United-States,Adm-clerical,White,Wife,Female,Private
61,51,0,2415,Bachelors,13,160724,40,1,Married-civ-spouse,China,Sales,Asian-Pac-Islander,Husband,Male,Self-emp-not-inc
62,41,0,2415,Prof-school,15,132222,40,1,Married-civ-spouse,United-States,Prof-specialty,White,Husband,Male,Private
63,37,0,2415,Masters,14,329980,60,1,Married-civ-spouse,United-States,Exec-managerial,White,Husband,Male,Private
64,55,0,2415,Prof-school,15,124137,35,1,Married-civ-spouse,Greece,Prof-specialty,White,Husband,Male,Self-emp-inc
